connection_type,resolution,number_of_systems,average_duration_on_ac_in_seconds,average_duration_on_dc_in_seconds
DISPLAYPORT_EXTERNAL,576x720,93,2855.78,585.29
DISPLAYPORT_EXTERNAL,1080x2048,91,23226.14,266.97
DISPLAYPORT_EXTERNAL,1280x1024,85,15162.82,32.89
DISPLAYPORT_EXTERNAL,1920x2560,83,1064.44,231.3
DISPLAYPORT_EXTERNAL,1280x1920,81,5461.96,850.53
DISPLAYPORT_EXTERNAL,-1x-1,77,14011.98,174.08
DISPLAYPORT_EXTERNAL,1680x1050,76,9381.84,40.91
DISPLAYPORT_EXTERNAL,515x1920,75,20706.7,10059.77
DISPLAYPORT_EXTERNAL,2880x5120,74,38415.92,815.3
DISPLAYPORT_EXTERNAL,1080x1728,73,647.31,0.0
DISPLAYPORT_EXTERNAL,2160x5120,71,22106.62,561.74
DISPLAYPORT_EXTERNAL,2160x1920,67,8871.76,0.59
DISPLAYPORT_EXTERNAL,1440x1720,66,20600.03,367.26
DISPLAYPORT_EXTERNAL,2160x3240,63,2303.25,321.9
DISPLAYPORT_EXTERNAL,1024x768,63,28266.11,4.86
DISPLAYPORT_EXTERNAL,1224x2176,63,3735.08,0.03
DISPLAYPORT_EXTERNAL,831x1477,62,1359.23,0.0
DISPLAYPORT_EXTERNAL,1080x1080,61,2206.31,0.01
DISPLAYPORT_EXTERNAL,990x1760,57,1810.47,0.0
DISPLAYPORT_EXTERNAL,1440x1280,57,270.63,0.09
DISPLAYPORT_EXTERNAL,918x1632,56,1177.22,0.0
DISPLAYPORT_EXTERNAL,1800x3200,55,685.97,33.86
DISPLAYPORT_EXTERNAL,400x640,52,868.74,4.89
DISPLAYPORT_EXTERNAL,1108x1969,52,1573.15,0.0
DVI,1080x1920,4753,27152.41,224.99
DVI,768x1024,1554,7804.08,0.45
DVI,1050x1680,544,19422.11,169.33
DVI,1024x1280,437,22342.22,24.21
DVI,720x1280,429,3811.37,23.16
DVI,900x1600,423,24037.28,84.93
DVI,1200x1920,342,19781.59,665.97
DVI,768x1366,321,12998.73,700.4
DVI,2160x3840,311,25105.4,40.6
DVI,1920x1080,230,13713.27,23.83
DVI,1440x2560,210,24830.21,44.62
DVI,900x1440,209,26642.33,707.97
DVI,480x640,205,726.67,0.0
DVI,600x800,189,1649.44,0.0
DVI,960x1280,140,1321.42,0.0
DVI,768x1360,138,28986.93,10.21
DVI,1024x1600,105,8473.45,0.0
DVI,800x1280,103,15263.53,101.01
DVI,1080x3840,90,16513.68,16.0
DVI,1200x1600,63,16124.03,972.8
DVI,768x1280,59,21110.57,0.0
DVI,864x1152,55,5859.52,0.0
DVI,1080x2560,54,26042.68,17.4
HD15,1080x1920,874,34304.14,615.03
HD15,768x1024,583,35489.64,37.61
HD15,768x1366,241,15531.1,110.56
HD15,1024x1280,191,44612.46,220.57
HD15,900x1600,162,25640.78,448.2
HD15,900x1440,130,40132.19,102.34
HD15,600x800,121,9426.79,192.97
HD15,768x1360,112,21244.35,242.89
HD15,720x1280,111,8023.34,13.06
HD15,1050x1680,105,28972.07,317.19
HDMI,1080x1920,50696,11175.3,240.87
HDMI,768x1024,14051,1312.69,12.05
HDMI,2160x3840,10350,12711.76,175.13
HDMI,768x1366,7116,10764.08,618.48
HDMI,720x1280,6447,5973.74,153.44
HDMI,1440x2560,5844,15207.69,234.71
HDMI,1050x1680,4604,13817.38,305.06
HDMI,900x1600,4583,5561.14,105.89
HDMI,1024x1280,3705,12860.02,165.87
HDMI,768x1360,3277,10726.27,352.9
HDMI,600x800,3081,2175.2,99.37
HDMI,1200x1920,2852,9404.83,253.3
HDMI,480x640,2150,652.86,9.31
HDMI,800x1280,2143,13163.88,679.67
HDMI,900x1440,2118,12256.26,370.38
HDMI,960x1280,1718,1176.19,13.92
HDMI,1920x1080,1706,1957.57,8.23
HDMI,1080x2560,1333,21694.58,347.95
HDMI,768x1280,1300,9504.67,174.21
HDMI,1440x3440,991,22730.78,537.46
HDMI,1600x2560,977,9742.05,813.91
HDMI,1050x1400,963,3406.67,72.81
HDMI,864x1152,912,9077.37,55.17
HDMI,2160x4096,873,22845.42,80.28
HDMI,1024x1600,844,2792.66,5.77
HDMI,1200x1600,772,16078.8,666.61
HDMI,1440x1920,667,3659.2,36.92
HDMI,600x1280,618,2624.73,56.62
HDMI,664x1176,555,2462.59,0.08
HDMI,1080x1440,494,1720.0,0.38
HDMI,1536x2048,378,2011.48,88.4
HDMI,992x1768,371,8965.66,279.81
HDMI,480x720,326,3242.0,41.19
HDMI,1152x2048,295,11972.66,223.31
HDMI,1527x2715,250,5127.48,0.04
HDMI,1824x2736,217,9144.75,13477.81
HDMI,1080x3840,208,19689.49,132.65
HDMI,576x720,202,1447.11,34.0
HDMI,2560x1440,201,11079.45,16.53
HDMI,2048x2560,154,137.26,2.46
HDMI,504x1000,136,14621.68,8300.52
HDMI,3840x2160,119,29947.26,3.48
HDMI,1920x2560,99,3575.96,0.49
HDMI,990x1760,99,6359.1,0.0
HDMI,831x1477,91,1093.01,0.02
HDMI,1366x768,90,10670.63,332.22
HDMI,1280x1024,88,14364.32,339.9
HDMI,918x1632,86,887.32,0.05
HDMI,1440x5120,86,23433.14,171.93
HDMI,1504x2256,85,4004.28,10470.8
HDMI,400x640,85,242.74,7.09
HDMI,200x320,84,365.54,0.0
HDMI,1080x1080,81,507.95,0.0
HDMI,600x1024,74,39066.88,3.78
HDMI,1024x768,74,15226.82,83.53
HDMI,-1x-1,74,11649.48,84.5
HDMI,1680x1050,74,38058.19,1062.8
HDMI,1080x2048,72,21407.0,954.16
HDMI,1920x1200,66,19059.8,94.06
HDMI,1600x3840,66,41026.48,138.03
HDMI,1080x2160,65,12465.14,5869.02
HDMI,2400x3840,62,10003.74,12288.22
HDMI,2160x1920,62,48497.94,185.0
HDMI,1280x1920,61,7740.04,1299.36
HDMI,1600x900,60,17373.16,390.09
HDMI,1392x1856,59,1126.21,0.07
HDMI,400x720,57,3.51,0.0
HDMI,1080x1728,57,1170.74,6.72
HDMI,1080x1280,54,3196.43,0.8
HDMI,1036x1842,54,14355.61,50.0
HDMI,1800x3200,53,7351.33,54.53
INDIRECT_VIRTUAL,1080x1920,88,16025.2,155.84
INDIRECT_WIRED,1080x1920,3001,24871.82,7113.07
INDIRECT_WIRED,768x1024,463,9783.93,1117.69
INDIRECT_WIRED,1200x1920,363,22884.91,6490.07
INDIRECT_WIRED,1440x2560,355,19495.7,7061.71
INDIRECT_WIRED,800x1280,299,26580.11,45.33
INDIRECT_WIRED,2160x3840,241,27346.6,4216.77
INDIRECT_WIRED,1050x1680,197,23747.48,7936.84
INDIRECT_WIRED,768x1366,187,31963.94,6791.53
INDIRECT_WIRED,1024x1280,175,27157.22,4701.24
INDIRECT_WIRED,1920x1080,149,24849.12,2788.05
INDIRECT_WIRED,900x1600,102,23905.8,3076.77
INDIRECT_WIRED,720x1280,99,6689.36,284.47
INDIRECT_WIRED,1152x2048,93,25587.49,3415.14
INDIRECT_WIRED,1440x3440,89,19731.8,3354.57
INDIRECT_WIRED,600x800,86,6125.13,776.21
INDIRECT_WIRED,900x1440,81,24706.02,3800.54
INDIRECT_WIRED,1536x2048,72,8803.13,3516.8
INDIRECT_WIRED,1080x2560,71,29322.72,9160.77
INDIRECT_WIRED,1600x2560,64,13800.96,10801.92
INDIRECT_WIRED,480x640,52,8702.15,3850.4
INTERNAL,1080x1920,52841,14960.46,7040.41
INTERNAL,768x1366,11227,11742.52,7732.44
INTERNAL,720x1280,8067,2659.41,1020.34
INTERNAL,768x1024,6051,1495.49,231.46
INTERNAL,900x1600,5320,9360.52,3065.88
INTERNAL,1050x1680,4428,3976.59,1441.89
INTERNAL,600x800,4386,1451.28,278.81
INTERNAL,1024x1280,3671,1488.68,168.6
INTERNAL,480x640,3130,1221.45,156.9
INTERNAL,1920x1080,3123,1659.57,1921.43
INTERNAL,2160x3840,2723,16849.76,7706.99
INTERNAL,768x1360,2718,4579.34,2281.8
INTERNAL,960x1280,2114,871.46,72.62
INTERNAL,1050x1400,2110,1103.66,120.57
INTERNAL,768x1280,2100,5254.61,1656.74
INTERNAL,900x1440,2040,6005.18,987.8
INTERNAL,600x1280,1827,1303.43,180.29
INTERNAL,800x1280,1625,5086.89,2567.67
INTERNAL,1200x1920,1543,16834.83,11407.83
INTERNAL,1440x2560,1327,12264.63,4259.2
INTERNAL,864x1152,1319,2006.47,322.0
INTERNAL,1600x2560,1243,16545.06,8941.71
INTERNAL,1824x2736,892,18944.01,18723.57
INTERNAL,2736x1824,649,4246.26,7418.84
INTERNAL,3840x2160,429,1287.97,1199.99
INTERNAL,1504x2256,417,27941.1,22941.14
INTERNAL,200x320,393,38.89,34.08
INTERNAL,400x640,373,180.54,53.87
INTERNAL,2000x3000,349,11110.56,9911.21
INTERNAL,1152x2048,344,16595.72,2658.72
INTERNAL,1366x768,336,964.02,1088.32
INTERNAL,1440x1920,295,1362.25,437.8
INTERNAL,2400x3840,282,20549.25,11532.64
INTERNAL,1200x1600,231,923.07,111.52
INTERNAL,1440x3440,231,10092.55,1554.02
INTERNAL,1280x1920,209,19346.24,13565.74
INTERNAL,1440x2160,202,8423.54,10098.84
INTERNAL,1536x2048,158,743.47,96.06
INTERNAL,1920x1200,154,2248.38,3319.43
INTERNAL,2160x3240,143,24821.58,10713.69
INTERNAL,1800x2880,139,5731.37,4258.32
INTERNAL,2048x2560,119,1495.74,44.92
INTERNAL,1920x1280,119,1860.71,3365.32
INTERNAL,1080x2560,118,22815.12,1174.13
INTERNAL,3000x2000,107,1744.98,3016.14
INTERNAL,240x320,104,290.79,24.62
INTERNAL,1920x2560,103,12473.91,27.98
INTERNAL,-1x-1,103,11219.79,2736.16
INTERNAL,2560x1600,98,896.09,2485.54
INTERNAL,1392x1856,92,700.74,331.22
INTERNAL,1344x1792,90,239.84,75.77
INTERNAL,1920x2880,84,13421.51,26478.45
INTERNAL,1280x720,80,868.92,281.06
INTERNAL,1664x2496,79,21011.58,20454.18
INTERNAL,2880x1920,71,1791.28,9222.74
INTERNAL,1080x1440,70,1885.59,16.8
INTERNAL,1024x1536,65,21889.84,31757.05
INTERNAL,3240x2160,63,464.01,1439.89
INTERNAL,1080x1620,63,9266.14,6644.06
INTERNAL,1800x3200,62,25853.93,11493.69
INTERNAL,300x400,60,597.72,42.95
INTERNAL,384x512,59,592.54,203.44
INTERNAL,640x480,53,41.2,34.37
INTERNAL,2560x1440,52,208.5,20074.54
INTERNAL,2000x3200,51,14263.04,12268.23
INTERNAL,1600x900,51,1520.93,13064.03
LVDS,800x1280,273,38949.32,0.0
LVDS,1080x1920,91,21581.37,4733.61
LVDS,768x1366,69,31688.11,1853.98
MIRACAST,1080x1920,671,9594.42,6445.79
MIRACAST,768x1366,114,9622.01,7335.66
MIRACAST,720x1280,85,11750.32,20601.46
MIRACAST,768x1024,83,6158.21,5343.81
OTHER,1080x1920,36158,25177.38,1964.09
OTHER,480x640,4183,28997.89,8450.48
OTHER,768x1366,4166,29317.13,3063.38
OTHER,2160x3840,3825,26720.5,1273.56
OTHER,1440x2560,3805,27797.25,359.75
OTHER,768x1024,1504,28250.35,20.93
OTHER,1200x1920,1093,42419.77,1565.71
OTHER,1440x3440,792,32878.68,265.15
OTHER,900x1600,746,38124.84,403.43
OTHER,1600x2560,547,31779.38,3535.67
OTHER,1824x2736,511,36897.57,4401.61
OTHER,1024x1280,504,27960.49,34.93
OTHER,1050x1680,498,44879.95,701.85
OTHER,900x1440,474,43070.2,282.96
OTHER,1080x2560,466,3485.89,12.77
OTHER,768x1360,298,36669.95,68.75
OTHER,1504x2256,258,30002.96,5873.48
OTHER,600x800,243,38591.4,201.05
OTHER,720x1280,195,25434.91,5667.79
OTHER,2400x3840,148,31463.36,4322.15
OTHER,1440x5120,139,26267.33,18.64
OTHER,2000x3000,135,41028.37,2966.86
OTHER,1800x2880,107,40374.01,1022.66
OTHER,1440x2160,98,26014.23,2403.19
OTHER,800x1280,96,38292.65,413.4
OTHER,1280x1920,92,45299.13,4530.93
OTHER,1080x3840,86,21660.17,2223.18
OTHER,2560x1600,79,3765.46,5386.03
OTHER,1920x2880,73,21986.37,10980.37
OTHER,1200x1600,70,66014.67,23.72
OTHER,2160x3240,64,36632.61,8304.86
OTHER,1920x1200,64,17347.26,2202.49
OTHER,1600x3840,61,35356.3,309.66
OTHER,2160x4096,61,24437.74,36.64
OTHER,1920x1080,58,36779.64,94.74
