app_type,exe_name,number_of_systems,rank
Security,msedge.exe,2,8
Security,slack.exe,2,8
Security,kakaotalk.exe,2,8
Security,rtls5wake.exe,2,8
Security,code.exe,2,8
Security,hwp.exe,2,8
Security,shellexperiencehost.exe,2,8
Security,gom.exe,2,8
Security,rustclient.exe,2,8
Security,mousewithoutbordershelper.exe,2,8
Security,searchapp.exe,2,8
Security,rainbowsix.exe,2,8
Security,jp2launcher.exe,2,8
Security,razer synapse service process.exe,2,8
Security,hd-player.exe,2,8
Security,steamwebhelper.exe,2,8
Security,outlook.exe,2,8
Security,vmware.exe,2,8
Security,brave.exe,2,8
Security,potplayer64.exe,2,8
Security,winword.exe,2,8
Security,avgbrowser.exe,2,8
Social,discord.exe,11625,1
Social,whatsapp.exe,7519,2
Social,skype.exe,7294,3
Social,telegram.exe,4174,4
Social,wechat.exe,2376,5
Social,qq.exe,1871,6
Social,line.exe,1484,7
Social,kakaotalk.exe,1471,8
Social,messenger.exe,1410,9
Social,twitchui.exe,1198,10
System,explorer.exe,32266,1
System,searchapp.exe,25472,2
System,searchui.exe,22013,3
System,wwahost.exe,11589,4
System,javaw.exe,10579,5
System,monotificationux.exe,2727,6
System,java.exe,2530,7
System,jp2launcher.exe,889,8
System,flow.exe,590,9
System,v3lite4exp.exe,3,10
Utilities + tools,cmd.exe,23519,1
Utilities + tools,onedrive.exe,21617,2
Utilities + tools,mspaint.exe,17239,3
Utilities + tools,snippingtool.exe,11058,4
Utilities + tools,syntpenh.exe,6943,5
Utilities + tools,utorrent.exe,6898,6
Utilities + tools,idman.exe,3536,7
Utilities + tools,googledrivefs.exe,2412,8
Utilities + tools,logioverlay.exe,1941,9
Utilities + tools,qbittorrent.exe,1741,10
Web Browsing,chrome.exe,31081,1
Web Browsing,msedge.exe,27220,2
Web Browsing,iexplore.exe,16484,3
Web Browsing,firefox.exe,12851,4
Web Browsing,opera.exe,7589,5
Web Browsing,microsoftedge.exe,5840,6
Web Browsing,brave.exe,2099,7
Web Browsing,browser.exe,2048,8
Web Browsing,avastbrowser.exe,1161,9
Web Browsing,qqbrowser.exe,410,10
