app_type,exe_name,average_focal_sec_per_day,rank
Productivity,skype.exe,18156036.0,10
Security,pma.exe,72206615.0,1
Security,qqlive.exe,58547665.0,2
Security,league of legends.exe,48857568.0,3
Security,coreldrw.exe,44155856.0,4
Security,robloxplayerbeta.exe,41158163.0,5
Security,citrixreceiverupdater.exe,40438750.0,6
Security,wfica32.exe,36739083.0,7
Security,kodi.exe,32515782.0,8
Security,rustclient.exe,20666304.0,9
Security,cdviewer.exe,20278746.0,10
Social,whale.exe,39198497.0,1
Social,idea64.exe,26476532.0,2
Social,chrome.exe,18628307.0,3
Social,nox.exe,17665746.0,4
Social,bluestacks.exe,14802541.0,5
Social,clipstudiopaint.exe,14564216.0,6
Social,javaw.exe,13804704.0,7
Social,citrixreceiverupdater.exe,13504675.0,8
Social,cdviewer.exe,10857426.0,9
Social,league of legends.exe,10788793.0,10
System,hwp.exe,78945999.0,1
System,mstsc.exe,69697728.0,2
System,monsterhunterworld.exe,61927156.0,3
System,soffice.bin,58777817.0,4
System,wowclassic.exe,40686620.0,5
System,rs2client.exe,40526629.0,6
System,teams.exe,38895444.0,7
System,modernwarfare.exe,32902273.0,8
System,revit.exe,27967190.0,9
System,dota2.exe,24935810.0,10
Utilities + tools,runelite.exe,61559350.0,1
Utilities + tools,deadbydaylight-win64-shipping.exe,34906627.0,2
Utilities + tools,hwp.exe,30759776.0,3
Utilities + tools,wowclassic.exe,30400874.0,4
Utilities + tools,worldofwarships64.exe,29431236.0,5
Utilities + tools,csgo.exe,19419795.0,6
Utilities + tools,kodi.exe,15630709.0,7
Utilities + tools,dnplayer.exe,14419632.0,8
Utilities + tools,firefox.exe,14050796.0,9
Utilities + tools,sketchup.exe,13546082.0,10
Web Browsing,leagueclientux.exe,72178762.0,1
Web Browsing,wow.exe,40102684.0,2
Web Browsing,wondershare filmora9.exe,36613370.0,3
Web Browsing,escapefromtarkov.exe,24798130.0,4
Web Browsing,coreldrw.exe,23597270.0,5
Web Browsing,potplayer64.exe,22651955.0,6
Web Browsing,clipstudiopaint.exe,20660976.0,7
Web Browsing,lostark.exe,18199324.0,8
Web Browsing,ffxiv_dx11.exe,17796457.0,9
Web Browsing,wechat.exe,16883696.0,10
