marketcodename,cpugen,number_of_systems,avg_on_time,avg_off_time,avg_modern_sleep_time,avg_sleep_time,avg_total_time,avg_pcnt_on_time,avg_pcnt_off_time,avg_pcnt_mods_time,avg_pcnt_sleep_time
Ice Lake,10th Gen i3,203,1190170.11,674922.99,372946.06,1484184.48,3722223.64,31.97,18.13,10.02,39.87
Penryn,Core2 Duo-Penryn,133,1393426.86,720794.95,393274.77,1260386.87,3767883.46,36.98,19.13,10.44,33.45
Kaby Lake,Pentium/Celeron-Kaby Lake,185,1351446.82,829758.05,244070.47,1165802.67,3591078.0,37.63,23.11,6.8,32.46
Kaby Lake,7th Gen i3,660,1342324.0,750450.55,439318.2,1409865.48,3941958.23,34.05,19.04,11.14,35.77
Haswell,4th Gen i5,1724,1309448.54,670875.3,356746.37,1516896.51,3853966.72,33.98,17.41,9.26,39.36
Ivy Bridge,3rd Gen i3,628,1339284.92,647683.33,360183.53,1481627.92,3828779.7,34.98,16.92,9.41,38.7
Broadwell,5th Gen i3,346,1307804.99,776981.67,320128.8,1463403.04,3868318.5,33.81,20.09,8.28,37.83
Whiskey Lake,8th Gen i7,304,1490970.54,671936.72,237419.85,1273170.17,3673497.29,40.59,18.29,6.46,34.66
Broadwell,5th Gen i7,270,1346775.94,737887.97,345512.89,1536835.22,3967012.02,33.95,18.6,8.71,38.74
Kaby Lake,7th Gen i5,1964,1320866.61,750446.02,349782.34,1477810.38,3898905.34,33.88,19.25,8.97,37.9
Sandy Bridge,Pentium/Celeron-2nd Gen,408,1383670.15,712219.65,348646.57,1413831.7,3858368.07,35.86,18.46,9.04,36.64
Kaby Lake,7th Gen i7,1778,1368625.55,732495.82,307051.4,1419114.06,3827286.82,35.76,19.14,8.02,37.08
Sandy Bridge,2nd Gen i5,1044,1275505.09,690527.49,394462.94,1434865.56,3795361.08,33.61,18.19,10.39,37.81
Ivy Bridge,3rd Gen i5,1475,1353446.78,685447.0,309904.29,1412744.62,3761542.69,35.98,18.22,8.24,37.56
Ivy Bridge,3rd Gen i7,653,1308826.78,658899.78,326448.36,1484729.08,3778904.01,34.64,17.44,8.64,39.29
Kaby Lake R,8th Gen i5,1041,1332018.5,725365.22,374582.79,1447652.8,3879619.3,34.33,18.7,9.66,37.31
Ivy Bridge,Pentium/Celeron-3rd Gen,266,1377587.25,533643.63,309378.62,1522534.97,3743144.47,36.8,14.26,8.27,40.68
Prescott,Pentium/Celeron-Prescott,186,1291118.89,638843.54,255595.87,1569347.67,3754905.98,34.38,17.01,6.81,41.79
Haswell,4th Gen i7,1395,1306692.8,711452.88,280819.56,1439496.55,3738461.79,34.95,19.03,7.51,38.51
Kaby Lake R,8th Gen i3,181,1487361.61,768321.72,200513.75,1335731.69,3791928.76,39.22,20.26,5.29,35.23
Comet Lake,10th Gen i3,245,1345751.55,704262.66,398797.05,1510637.39,3959448.64,33.99,17.79,10.07,38.15
Arrandale,1st Gen i5,274,1306084.79,789242.54,241385.64,1536126.96,3872839.93,33.72,20.38,6.23,39.66
Rocket Lake,11th Gen i5,101,1307335.36,910216.66,446359.77,1387756.21,4051668.0,32.27,22.47,11.02,34.25
Skylake,Pentium/Celeron-Skylake,112,1297955.9,612944.74,245707.9,1394836.0,3551444.54,36.55,17.26,6.92,39.28
Comet Lake,10th Gen i7,734,1333507.8,696517.8,358158.36,1509391.07,3897575.03,34.21,17.87,9.19,38.73
Tiger Lake,11th Gen i5,553,1369411.03,654683.22,320606.72,1419475.71,3764176.68,36.38,17.39,8.52,37.71
Penryn,Pentium/Celeron-Penryn,131,1249327.16,553784.77,324040.53,1468515.97,3595668.42,34.75,15.4,9.01,40.84
Wolfdale,Core2 Duo-Wolfdale,234,1198024.24,754617.8,161764.36,1452120.16,3566526.55,33.59,21.16,4.54,40.72
Comet Lake,10th Gen i5,945,1274451.52,774458.31,407079.28,1484914.38,3940903.49,32.34,19.65,10.33,37.68
Skylake,6th Gen i5,1556,1315330.65,773966.8,348565.8,1319001.96,3756865.2,35.01,20.6,9.28,35.11
Kaby Lake R,8th Gen i7,635,1291437.12,701485.0,289171.34,1318174.41,3600267.87,35.87,19.48,8.03,36.61
Arrandale,1st Gen i3,272,1208788.58,824965.14,319393.63,1342743.16,3695890.51,32.71,22.32,8.64,36.33
Coffee Lake,9th Gen i3,125,1399323.44,540915.61,146702.07,1409254.84,3496195.96,40.02,15.47,4.2,40.31
Unknown,Unknown,1087,1369268.88,620646.69,297567.75,1434054.48,3721537.8,36.79,16.68,8.0,38.53
Haswell,4th Gen i3,761,1291277.63,766412.05,424458.87,1505955.31,3988103.86,32.38,19.22,10.64,37.76
Coffee Lake,8th Gen i3,297,1380928.14,661027.38,281069.52,1386917.97,3709943.01,37.22,17.82,7.58,37.38
Coffee Lake,8th Gen i7,1146,1296484.02,751392.6,323893.24,1419900.4,3791670.26,34.19,19.82,8.54,37.45
Cherry Trail,Atom-Cherry Trail,150,1329114.47,721568.34,289469.14,1235325.96,3575477.92,37.17,20.18,8.1,34.55
Tiger Lake,11th Gen i7,461,1309866.39,661072.95,325461.48,1620381.51,3916782.33,33.44,16.88,8.31,41.37
