connection_type,resolution,number_of_systems,average_duration_on_ac_in_seconds,average_duration_on_dc_in_seconds
INTERNAL,1075x1917,69,159570414.39,184741894.74
INTERNAL,1074x1916,68,185054416.18,201178014.31
INTERNAL,1078x1917,68,91623719.63,131539030.89
INTERNAL,1076x1919,68,194088498.25,238632830.17
INTERNAL,1076x1918,67,72620765.47,147341928.65
INTERNAL,1072x1917,67,155296336.67,198780465.22
INTERNAL,1079x1915,67,151300738.56,158144366.5
INTERNAL,1076x1917,66,148321575.28,233175740.5
INTERNAL,1077x1915,65,189509521.52,125505256.04
INTERNAL,1072x1914,64,166821394.6,203767751.69
INTERNAL,1075x1918,63,160347715.7,189006207.68
INTERNAL,1075x1915,63,172067597.2,140016672.15
INTERNAL,1077x1918,63,95980482.31,201817494.58
INTERNAL,1077x1917,63,177675506.64,144087186.89
INTERNAL,1071x1914,62,225090708.22,229241616.36
INTERNAL,1072x1919,62,92632694.54,157677966.3
INTERNAL,1078x1919,61,80302046.37,177200369.66
INTERNAL,1079x1918,61,96167507.52,188746860.1
INTERNAL,1072x1916,61,130016136.42,211250656.07
INTERNAL,1073x1914,60,305479467.97,149932735.85
INTERNAL,1073x1919,60,235995254.9,161442621.24
INTERNAL,1078x1916,60,126021760.48,237345717.37
INTERNAL,1071x1919,59,82201029.78,196669545.28
INTERNAL,1074x1918,59,66186334.74,206788762.76
INTERNAL,1073x1915,58,153068965.9,148938660.66
INTERNAL,1073x1916,58,217723021.29,179729477.11
INTERNAL,1074x1915,58,251015246.48,226101078.01
INTERNAL,1075x1916,57,168508890.87,148481157.57
INTERNAL,1071x1916,57,99173497.27,209541374.43
INTERNAL,1079x1919,56,178951740.58,189848884.34
INTERNAL,1072x1915,56,186664112.85,171450608.07
INTERNAL,1075x1919,56,20793796.26,183640801.72
INTERNAL,1073x1918,55,193187726.79,243352996.72
INTERNAL,1071x1918,55,127892518.15,193123659.46
INTERNAL,1077x1916,54,205884624.01,94863777.5
INTERNAL,1079x1916,54,275860513.41,232354298.99
INTERNAL,1075x1914,53,198649505.09,181069204.54
INTERNAL,1073x1917,53,219608558.89,193856525.41
INTERNAL,1074x1914,52,174235588.41,131270336.22
INTERNAL,1076x1916,52,207211194.88,208782666.31
INTERNAL,1074x1919,51,105216818.3,194431528.39
INTERNAL,1071x1915,51,182346780.14,192187809.39
LVDS,1080x1916,60,1217860.68,4273849.15
LVDS,1080x1918,51,899701.28,1237251.58
MIRACAST,1080x1918,107,18228742.04,258506.93
MIRACAST,1080x1919,107,41015662.43,55166.39
MIRACAST,1080x1916,103,23734242.47,2381472.54
MIRACAST,1080x1917,102,23837341.92,33506.0
MIRACAST,1080x1914,101,29777567.89,11485593.81
MIRACAST,1080x1915,90,19286478.44,2105555.69
OTHER,1080x1916,6760,24313182.44,239976.65
OTHER,1080x1917,6759,25390211.64,12551.74
OTHER,1080x1918,6752,27103202.67,191639.09
OTHER,1080x1915,6739,22121578.19,336844.82
OTHER,1080x1914,6715,22034501.57,291367.47
OTHER,1080x1919,6710,25293256.34,227648.54
OTHER,1080x1920,3429,25967179.8,9981.61
OTHER,1080x1913,1508,21511009.67,12058.15
