app_type,exe_name,number_of_systems,rank
Utilities + tools,radeonsoftware.exe,5422,10
Web Browsing,4kyoutubetomp3.exe,2679,1
Web Browsing,firefox.exe,2670,2
Web Browsing,whale.exe,2658,3
Web Browsing,flashplayerapp.exe,2655,4
Web Browsing,flashplayer32pp_ka_install.exe,2652,5
Web Browsing,flashutil32_32_0_0_445_pepper.exe,2645,6
Web Browsing,qqbrowser.exe,2636,7
Web Browsing,web-browser.exe,2626,8
Web Browsing,browser_x86.exe,2625,9
Web Browsing,firefox installer.exe,2623,10
