guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
synth_0019930,2894375.0,25241147614.079853,188154549337.5113,2 in 1,Other,Other,12,Win Server,4
synth_0019956,935244.0,16397924681.164816,26516789957.599075,Desktop,Asus,TUF GAMING FX504GE_FX80GE,12,Win11,4
synth_0019987,2592502.0,33371610346.43846,269122569803.1792,Server/WS,Lenovo,Lenovo ideapad 330-15IKB,16,Win8.1,2
synth_0020094,2885527.0,42017527023.0875,5182095814597.908,Desktop,HP,HP Pavilion Desktop PC 570-p0xx,12,Win8.1,4
synth_0020112,3133548.0,573748626165.3895,3352916212763.033,Desktop,Fujitsu,Other,16,Win11,4
synth_0020189,3271034.0,312614250712.54803,1161135205117.2854,2 in 1,Dell,OptiPlex 3080,12,Win7,2
synth_0020334,920144.0,49804500267.77053,55049371980.01499,2 in 1,Asus,X510UAR,6,Win11,8
synth_0020357,2067209.0,4971346039.940749,3432359926006.005,Notebook,Lenovo,Lenovo ideapad 310-15IKB,12,Win10,2
synth_0020384,1216892.0,38272914935.981094,42273359735.66346,Desktop,"Colorful Technology And Development Co.,LTD",Other,16,Win10,4
synth_0020594,451384.0,3806782225.6247034,9352269201.084307,2 in 1,Dell,G3 3500,12,n/a,4
synth_0020608,559021.0,12701235198.001831,65594011423.993515,Desktop,Acer,Aspire M3-581T,16,Win10,4
synth_0020610,298815.0,809166146.3711348,409306346002.1949,2 in 1,Asus,X540LJ,12,Win11,4
synth_0020805,829308.0,48143619045.00512,60147255155.4842,Notebook,Acer,Aspire ES1-531,8,Win10,6
synth_0020879,1149526.0,2029653624.486358,136718952099.38387,Tablet,Unknown,Other,12,Win8.1,2
synth_0020929,2734821.0,26687001001.127144,263833789219.2317,Intel NUC/STK,ECS,H110M4-C3D/C3V,6,Win Server,2
synth_0021063,2748627.0,53325728153.675446,173374132481.39648,Notebook,Gigabyte,To be filled by O.E.M.,6,Win11,2
synth_0021229,5237582.0,79126992086.11632,483078009502.9398,Desktop,Asus,X455LDB,12,Win10,n/a
synth_0021232,466333.0,18891000762.71516,25970759343.45966,Other,Clevo,Other,16,Win7,4
synth_0021665,220400.0,12953060588.547092,17917276243.74052,Notebook,Asus,VivoBook 12_ASUS Laptop E203MAS_L203MA,16,Win8,2
synth_0021725,924666.0,184965682365.09442,1701588277333.5037,2 in 1,Asus,UX32A,12,Win8,2
synth_0021805,93472.0,1100049981.4943302,24716451587.892574,2 in 1,GPD,Default string,4,Win10,2
synth_0021843,544011.0,13928230640.859106,60822453631.93387,Notebook,Lenovo,Lenovo IdeaPad S145-15IGM,8,Win11,4
synth_0021945,169971.0,12856426475.422382,42038566221.366455,Desktop,Lenovo,Other,8,Win10,4
synth_0022083,200796.0,2364000429.4622126,9639087411.716501,2 in 1,HP,HP Pavilion Laptop 14-ce0xxx,12,Win8.1,2
synth_0022574,2007276.0,54905300925.6519,93759935630.84592,Desktop,Other,Not Applicable,6,Win11,n/a
synth_0022642,3787936.0,68025655451.58986,237108706437.42627,2 in 1,Dell,XPS One 2710,8,Win8,4
synth_0022973,2370150.0,35041848525.8145,118465221400.89143,Notebook,Dell,Latitude 5590,16,Win10,8
synth_0023549,2051115.0,22003143138.570084,323620152585.66345,Tablet,Toshiba,Satellite C55-A,12,Win11,2
synth_0023909,1383956.0,9242374253.085934,44415424298.45047,Notebook,HP,HP ENVY Sleekbook 4,16,Win10,2
synth_0023924,2402923.0,195177829996.69043,248203240899.87073,Notebook,Toshiba,Satellite C850,16,Win10,6
synth_0023959,5756955.0,80124119024.12794,199170312058.77225,Notebook,Lenovo,ThinkPad E520,12,Win10,2
synth_0024021,70756.0,2624706151.9368863,4181016953.444189,Notebook,Dell,Inspiron 7386,8,n/a,4
synth_0024024,2816801.0,101719631423.87418,635136657746.698,Notebook,Dell,G3 3590,12,Win10,2
synth_0024215,3556580.0,216199897986.13672,310976646298.03235,Desktop,Gigabyte,Default string,12,Win11,2
synth_0024476,1116455.0,7436612713.305615,69731161225.05467,Notebook,Asus,X541UV,8,Win10,4
synth_0024828,430634.0,7660919888.84159,9728375676.14381,Desktop,Thirdwave Corporation,System Version,8,Win11,6
synth_0025046,422394.0,40787528134.050934,240598012599.31033,Notebook,Gigabyte,B450 AORUS ELITE,16,Win10,2
synth_0025102,1367929.0,31943493413.839035,77148309088.0308,Notebook,Acer,Aspire 5820TG,12,Win Server,2
synth_0025106,3366528.0,126031685034.01825,141423242863.7837,Notebook,Toshiba,Satellite C40-A,12,Win10,2
synth_0025207,231805.0,9779394819.328224,34475544542.991745,2 in 1,Dell,XPS 13 9360,6,Win8,4
synth_0025307,670704.0,34889451136.57859,49370748955.233,Other,HUAWEI,MACHC-WAX9,16,Win8,2
synth_0025627,1157019.0,45379991332.097534,82062017530.33295,Intel NUC/STK,HP,HP Spectre x360 Convertible 13-ae0xx,12,Win7,4
synth_0025678,588871.0,4361150767.395281,84734775646.80927,Notebook,Lenovo,ThinkPad X260,12,n/a,2
synth_0025814,403177.0,31060274886.357822,46000062412.37054,Desktop,HP,HP ProBook 640 G1,4,Win10,2
synth_0025830,2512300.0,151830412959.00507,189570154798.04333,Desktop,O.E.M,Other,8,Win11,2
synth_0025956,2587322.0,12012733903.505533,268722116552.7848,Notebook,HP,HP Laptop 15-dy0xxx,12,Win10,4
synth_0026120,240887.0,25795816149.011303,26726667365.767994,Notebook,Dell,G3 3590,16,Win10,2
synth_0026218,1570703.0,62814633575.65438,1707584204052.9346,Desktop,Gigabyte,Default string,12,Win11,4
synth_0026612,458503.0,21751082649.474407,55103387138.78775,Notebook,Dell,Latitude E5540,12,Win10,4
synth_0026628,2711956.0,25275734154.86189,111243623865.2582,Server/WS,Intel,NUC10i3FNH,6,Win8.1,2
synth_0026832,1673602.0,15421792678.354776,81987180863.1238,Notebook,HANSUNG COMPUTER,Not Applicable,6,Win10,4
synth_0026906,594279.0,12610446799.798992,51025414803.938736,Intel NUC/STK,HP,HP Laptop 15-dy1xxx,8,Win11,4
synth_0026976,1402228.0,8189362693.523569,255091915161.59064,2 in 1,LG,15ZD990-VX50K,12,Win10,6
synth_0026990,2165408.0,136732967033.3628,180151893196.88428,Desktop,Asus,UX31A,6,Win8.1,4
synth_0027005,4223639.0,36555189981.046646,451188054666.63544,Intel NUC/STK,Intel,NUC7i5BNK,12,Win11,6
synth_0027763,1570741.0,5867999719.0806675,169410626270.90283,Desktop,HP,Other,16,Win10,2
synth_0027871,5129174.0,82750466034.4968,332116116861.5622,Desktop,MSI,GL72 6QF,12,Win11,2
